Level,Spell Name,Spell Description,Skill,Mana,Tag,Class
8,Water Shield,"An elemental shield of frigid water surrounds you, increasing Cold and Fire Resistance by 10 causing attackers to be afflicted by Chilled, reducing their Movement Speed 25%, decreasing their Electricity Resistance by 10 for 3 seconds.",Abj,10,Resist | Cold | Fire | Snare | Lower Resistance | Electricity | Damage Shield | (self only),Elementalist
12,Charm Elemental,"Charms an elemental target, forcing them to fight for you for up to 20 minutes.",Alt,60,Charm | (elementals only),Elementalist
12,Element Splinter,"Splinters your target's resistance to the elements, decreasing their Cold, Electricity, Fire and Magic Resistance by 3 (L12) to 4 (L16). This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,25,Lower Resistance | Cold | Electricity | Fire | Magic,Elementalist
12,Greater Creation: Air,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,90,Pet | Melee Haste | AURA,Elementalist
12,Greater Creation: Earth,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,90,Pet | +STA | Root | AURA,Elementalist
12,Greater Creation: Fire,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,90,Pet | Spell Haste | Damage Shield | AURA,Elementalist
12,Greater Creation: Water,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,90,Pet | Mana Regen | AURA,Elementalist
12,Master of Elements,"Submit yourself to the elements, granting you the form of a powerful elemental of a random element for 18 seconds. Additionally, while in elemental form, your next melee attack instantly casts a spell from the corresponding element.",Div,50,Shapeshift | Spell Haste | (self only),Elementalist
12,Restrain the Elements,"Restrain a target elemental, incapacitating them for 30 seconds.",Con,,Mez | (elementals only),Elementalist
12,Summon Heavy Cloth Bandage,"Summon 1 (L12) to 4 (L16) heavy cloth bandages, suitable for healing wounds.",Con,,Conjure Bandage,Elementalist
16,Beset the Elements,Wards an elemental target with elemental energy for 90 points of Magic Damage.,Evo,50,Direct Damage | Magic | (elementals only),Elementalist
16,Blast of Air II,"Blast your target with air, dealing 75 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,55,Direct Damage | Magic,Elementalist
16,Blast of Earth II,"Blast your target with earth, dealing 75 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,55,Direct Damage | Magic,Elementalist
16,Blast of Fire II,"Blast your target with fire, dealing 75 Fire Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,55,Direct Damage | Fire,Elementalist
16,Blast of Water II,"Blast your target with water, dealing 75 Cold Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,55,Direct Damage | Cold,Elementalist
16,Exceptional Creation: Air,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,130,Pet | Melee Haste | AURA,Elementalist
16,Exceptional Creation: Earth,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,130,Pet | +STA | Root | AURA,Elementalist
16,Exceptional Creation: Fire,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,130,Pet | Spell Haste | Damage Shield | AURA,Elementalist
16,Exceptional Creation: Water,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,130,Pet | Mana Regen | AURA,Elementalist
16,Summon Lesser Earth Mallet,"Summon an earth mallet, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
16,Summon Lesser Fire Staff,"Summon a fire staff, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
16,Summon Lesser Water Trident,"Summon a Water Trident, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
16,Summon Lesser Wind Blade,"Summon a wind blade, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
16,Spellshield,"A magical shield encircles you, increasing your HP by 50, AC by 15, and Magic Resistance by 15.",Abj,50,+HP | +AC | Resist | Magic | (self only),Elementalist
16,Summon Lesser Manastone,"Summons a Lesser Manastone, granting 75 Mana at the cost of 120 Health. This item can be traded to other players, and will be lost when logging out after a short period of time.",Con,100,Summon Manastone,Elementalist
20,Elemental Coregate (this spell is NOT currently in game),"Open an elemental coregate for a target group member, summoning them to your position.",Con,,Teleport | Removed,Elementalist
20,Fire Shield,"Surrounds your target with a fire shield, providing a Damage Shield with 10 Damage Per Hit.",Abj,50,Damage Shield,Elementalist
20,Lavaburst,Bursts your target with lava for 120 points of Fire Damage.,Evo,75,Direct Damage | Fire,Elementalist
20,Conjure Wool Bandage,"Summon 1 (L20) to 4 (L24) wool bandages, suitable for healing wounds.",Con,,Conjure Bandage,Elementalist
20,Minor Synthesis: Air,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,170,Pet | Melee Haste | AURA,Elementalist
20,Minor Synthesis: Earth,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,170,Pet | +STA | Root | AURA,Elementalist
20,Minor Synthesis: Fire,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,170,Pet | Spell Haste | Damage Shield | AURA,Elementalist
20,Minor Synthesis: Water,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,170,Pet | Mana Regen | AURA,Elementalist
24,Air Pet Tier 7,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
24,Beguile Elemental,"Charm a target elemental, forcing them to fight alongside you for up to 20 minutes.",Alt,,Charm | (elementals only),Elementalist
24,Blast of Air III,"Blast your target with air, dealing 100 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Magic,Elementalist
24,Blast of Earth III,"Blast your target with earth, dealing 100 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Magic,Elementalist
24,Blast of Fire III,"Blast your target with fire, dealing 100 Fire Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Fire,Elementalist
24,Blast of Water III,"Blast your target with water, dealing 100 Cold Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Cold,Elementalist
24,Cold Resistance,"Greatly wards your target from frost, increasing their Cold Resistance by 15.",Abj,,Resist | Cold,Elementalist
24,Earth Pet Tier 7,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
24,Element Crack,"Cracks your target's resistance to the elements, decreasing their Cold, Electricity, Fire and Magic Resistance by 5 (L24) to 6 (L28). This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,,Lower Resistance | Cold | Electricity | Fire | Magic,Elementalist
24,Elemental Torrent,"Infuse your pet with an elemental torrent, increasing their Attack Speed by 20% and Strength by 5.",Alt,,+STR | Melee Haste | (pet only),Elementalist
24,Fire Pet Tier 7,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
24,Fire Resistance,"Greatly wards your target from heat, increasing their Fire Resistance by 15.",Abj,,Resist | Fire,Elementalist
24,Greater Spellshield,"A magical shield encircles you, increasing your HP by 75, AC by 20, and Magic Resistance by 20.",Abj,,+HP | +AC | Resist | Magic | (self only),Elementalist
24,Revitalize the Elements,"Revitalize the form of an elemental pet, restoring 180 Health.",Alt,,Heal Over Time | (pet only),Elementalist
24,Water Pet Tier 7,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,,Pet | Mana Regen | AURA,Elementalist
28,Air Pet Tier 8,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
28,Conjure Drink,"Conjures a large amount of water, providing you with sustenance.",Con,,Conjure Food & Water,Elementalist
28,Conjure Food,"Conjures a large amount of bread, providing you with sustenance.",Con,,Conjure Food & Water,Elementalist
28,Earth Pet Tier 8,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
28,Fire Pet Tier 8,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
28,Magma Shield,"Surrounds your target with a magma shield, providing a Damage Shield with 15 Damage Per Hit.",Abj,,Damage Shield,Elementalist
28,Rebuff the Elements,Wards an elemental target with elemental energy for 150 points of Magic Damage.,Evo,,Direct Damage | Magic | (elementals only),Elementalist
28,Summon Heavy Wool Bandage,"Summon 1 (L28) to 4 (L32) heavy wool bandages, suitable for healing wounds.",Con,,Conjure Bandage,Elementalist
28,Summon Manastone,"Summon a Manastone, granting 105 Mana at the cost of 160 Health. This item can be traded to other players, and will be lost when logging out after a short period of time.",Con,,Summon Manastone,Elementalist
28,Water Pet Tier 8,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,,Pet | Mana Regen | AURA,Elementalist
32,Abolish Magic,Removed two harmful magical effects from your current target,Alt,,Cure | Magic,Elementalist
32,Air Pet Tier 9,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
32,Blaze,Engulfs your target with a blaze for 200 points of Fire damage.,Evo,,Direct Damage | Fire,Elementalist
32,Earth Pet Tier 9,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
32,Exceptional Spellshield,"A magical shield encircles you, increasing your HP by 100, AC by 25, and Magic Resistance by 25.",Abj,,+HP | +AC | Resist | Magic | (self only),Elementalist
32,Fire Pet Tier 9,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
32,Summon Earth Mallet,"Summon an earth mallet, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
32,Summon Fire Staff,"Summon a fire staff, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
32,Summon Water Trident,"Summon a Water Trident, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
32,Summon Wind Blade,"Summon a wind blade, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
32,Water Pet Tier 9,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,,Pet | Mana Regen | AURA,Elementalist
36,Air Pet Tier 10,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
36,Blast of Air IV,"Blast your target with air, dealing 150 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Magic,Elementalist
36,Blast of Earth IV,"Blast your target with earth, dealing 150 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Magic,Elementalist
36,Blast of Fire IV,"Blast your target with fire, dealing 150 Fire Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Fire,Elementalist
36,Blast of Water IV,"Blast your target with water, dealing 150 Cold Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Cold,Elementalist
36,Coax Elemental,"Charm a target elemental, forcing them to fight alongside you for up to 20 minutes.",Alt,,Charm | (elementals only),Elementalist
36,Earth Pet Tier 10,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
36,Fire Pet Tier 10,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 30(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
36,Lava Shield,"Surrounds your target with a lava shield, providing a Damage Shield with 20 Damage Per Hit.",Abj,,Damage Shield,Elementalist
36,Rejuvenate the Elements,"Rejuvenate the form of an elemental pet, restoring 420 Health.",Alt,,Heal Over Time | (pet only),Elementalist
36,Summon Cotton Bandage,"Summon 1 (L36) to 4 (L40) cotton bandages, suitable for healing wounds.",Con,,Conjure Bandage,Elementalist
36,Water Pet Tier 10,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,,Pet | Mana Regen | AURA,Elementalist
40,Air Pet Tier 11,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
40,Arch Spellshield,"A magical shield encircles you, increasing your HP by 150, AC by 30, and Magic Resistance by 30.",Abj,,+HP | +AC | Resist | Magic | (self only),Elementalist
40,Beleaguer the Elements,Wards an elemental target with elemental energy for 245 points of Magic Damage.,Evo,,Direct Damage | Magic | (elementals only),Elementalist
40,Earth Pet Tier 11,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
40,Element Fracture,"Fractures your target's resistance to the elements, decreasing their Cold, Electricity, Fire, and Magic Resistance by 7 (L40) to 8 (L44). This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,,Lower Resistance | Cold | Electricity | Fire | Magic,Elementalist
40,Elemental Surge,"Infuse your pet with an elemental surge, increasing their Attack Speed by 30% and Strength by 10.",Alt,,+STR | Melee Haste | (pet only),Elementalist
40,Fire Pet Tier 11,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
40,Summon Greater Manastone,"Summon a Greater Manastone, granting 135 Mana at the cost of 200 Health.",Con,,Summon Manastone,Elementalist
40,Water Pet Tier 11,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,,Pet | Mana Regen | AURA,Elementalist
44,Air Pet Tier 12,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
44,Blazing Shield,"Surrounds your target with a blazing shield, providing a Damage Shield with 25 Damage Per Hit.",Abj,,Damage Shield,Elementalist
44,Earth Pet Tier 12,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
44,Fire Pet Tier 12,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
44,Inferno,Engulfs your target with an inferno for 325 points of Fire Damage.,Evo,,Direct Damage | Fire,Elementalist
44,Summon Heavy Cotton Bandage,"Summon 1 (L44) to 4 (L48) heavy cotton bandages, suitable for healing wounds.",Con,,Conjure Bandage,Elementalist
44,Water Pet Tier 12,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,,Pet | Mana Regen | AURA,Elementalist
48,Air Pet Tier 13,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,,Pet | Melee Haste | AURA,Elementalist
48,Blast of Air V,"Blast your target with air, dealing 225 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Magic,Elementalist
48,Blast of Earth V,"Blast your target with earth, dealing 225 Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Magic,Elementalist
48,Blast of Fire V,"Blast your target with fire, dealing 225 Fire Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Fire,Elementalist
48,Blast of Water V,"Blast your target with water, dealing 225 Cold Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,,Direct Damage | Cold,Elementalist
48,Earth Pet Tier 13,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,,Pet | +STA | Root | AURA,Elementalist
48,Fire Pet Tier 13,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,,Pet | Spell Haste | Damage Shield | AURA,Elementalist
48,Summon Greater Earth Mallet,"Summon an earth mallet, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
48,Summon Greater Fire Staff,"Summon a fire staff, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
48,Summon Greater Water Trident,"Summon a Water Trident, suitable for combat in a pinch.",Con,,Conjure Weapon,Elementalist
